dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
68,"00:05:58,146 --> 00:06:04,191
","~ <i>Ou loto mamaina toa</i> ~
I will clean the hero

",0.265036,0.533973,0.119194,0.055597,0.072854,0.107209,0.020797,0.389886,0.200874,0.30561,0.0,0.0,0.0
69,"00:06:04,469 --> 00:06:10,124
","~ <i>Manatu atu</i> ~
Consideration

",0.257499,0.523935,0.126071,0.083424,0.051557,0.241643,0.110419,0.576338,0.229566,0.122594,0.358048,0.0,0.0
70,"00:06:10,866 --> 00:06:16,883
","~ <i>Taku pelepele</i> ~
Taku the dearest

",0.486691,0.208054,0.166935,0.142117,0.03596,0.087163,0.013942,0.364985,0.049986,0.003766,0.0,0.0,0.0
71,"00:06:17,346 --> 00:06:22,823
","~ <i>Pa mai to mafanafanaga</i> ~
Explosion took comfort

",0.601433,0.063484,0.349155,0.023062,0.022588,0.024079,0.090798,0.583295,0.17438,0.028454,0.0,0.0,0.0
72,"00:06:23,172 --> 00:06:30,068
","~ <i>Saolotoga tenei</i> ~
Freedom of tenei

",0.048457,0.206066,0.562894,0.083858,0.163911,0.32495,0.05133,0.344296,0.007646,0.002421,0.0,0.0,0.0
73,"00:06:30,100 --> 00:06:36,109
","~ Manatunatu ~
Consider

",0.25036,0.216366,0.211086,0.043428,0.326424,0.441919,0.138371,0.608249,0.407649,0.149855,0.98445,0.0,0.0
74,"00:06:36,449 --> 00:06:42,290
","~ <i>Ki tamafine</i> ~
Key of tamafine

",0.283584,0.525431,0.12793,0.104704,0.02086,0.289721,0.069996,0.48639,0.033028,0.004698,0.222581,0.0,0.0
75,"00:06:43,403 --> 00:06:46,546
","~ <i>Maua ai te lumanai</i> ~
Have you come

",0.118904,0.666177,0.162182,0.087702,0.024306,0.027308,0.243102,0.617464,0.303101,0.103257,0.0,0.0,0.0
76,"00:06:49,565 --> 00:06:55,153
","~ <i>Ki tamafine</i> ~
Key of tamafine

",0.283584,0.525431,0.12793,0.104704,0.02086,0.289721,0.069996,0.48639,0.033028,0.004698,0.222581,0.0,0.0
77,"00:06:58,019 --> 00:06:59,019
","Moana!

",0.0,0.0,0.0,0.0,0.0,0.068939,0.145665,0.461938,0.270129,0.000114,0.0,0.0,0.0
